Enter QFE SDK License Key: 
QFE SDK Version: 1.1.5

Activating license and initializing SDK...
License activated and SDK initialized!

Maximum instances allowed by license: 100

Select processing mode:
  1. CPU (default)
  2. GPU (requires CUDA)
Enter choice [1/2]: CPU mode selected

Number of SDK instances to create:
  - More instances = higher parallel processing capacity
  - Each instance uses additional memory
Enter number of instances [1-100] (default: 1): Using 1 instance(s)

Enter model path (default: ./model): Using model path: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\model

Enter database path (default: ./face_database.db): Using database: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\face_database.db

Loading models from: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\model
Database loaded: C:\Users\sypark5\TestAgent\qfe-api-server-no-license\face_database.db
CFG load: system_parameter.cfg
QFE SDK initialized successfully!
2026/04/22 10:26:55 WARNING: CORS is set to allow all origins (*). Set QFE_CORS_ORIGINS for production.
2026/04/22 10:26:55 Starting QFE API server on 0.0.0.0:8080
[GIN] 2026/04/22 - 10:27:17 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/delete"
[GIN] 2026/04/22 - 10:27:17 | 200 |     22.3166ms |       127.0.0.1 | POST     "/api/v2/detect"
[GIN] 2026/04/22 - 10:27:17 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/detect"
[GIN] 2026/04/22 - 10:27:17 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/detect"
[GIN] 2026/04/22 - 10:27:17 | 200 |     23.4785ms |       127.0.0.1 | POST     "/api/v2/detect"
[GIN] 2026/04/22 - 10:27:17 | 200 |     22.1009ms |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:17 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:17 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:17 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:17 | 200 |     20.3111ms |       127.0.0.1 | POST     "/api/v2/enroll"
[GIN] 2026/04/22 - 10:27:17 | 200 |            0s |       127.0.0.1 | GET      "/health"
[GIN] 2026/04/22 - 10:27:17 | 200 |            0s |       127.0.0.1 | POST     "/api/v2/enroll"
